Indicator,Type,Malware Families,Related Actors,Related Reports,Kill Chain
ipolacharrsetasdplasma5ford.com,Domain,Octo,--,--,--
ipolacharrasdsetplasma2class.net,Domain,Octo,--,--,--
ipolacharrseasdtplasma1pla.com,Domain,Octo,--,--,--
ipolacharrsetplaasdsma4bmx.net,Domain,Octo,--,--,--
ipolachaasdrrsetplasma3merc.com,Domain,Octo,--,--,--
ipolacharrsetpasdlasma6apple.net,Domain,Octo,--,--,--
213.109.202.107,IP Address,Octo,--,--,Command & Control (C2)
ipolacharrsetpasdlasma7samsung.net,Domain,Octo,--,--,--
beginning-restoration.gl.at.ply.gg,Domain,njRAT,--,--,--
222.184.148.236,IP Address,Salityv3,SALTY SPIDER,--,--
149.88.26.175,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
igorboiehardvuruyorbeagfhj3.com,Domain,Octo,--,--,--
igorsavasiyoryavgeneasfd2.com,Domain,Octo,--,--,--
igoryemekyiyiyorafga2.com,Domain,Octo,--,--,--
igoryasiyorabecanlar2.com,Domain,Octo,--,--,--
igorboiesaplakatiyorsdfh.net,Domain,Octo,--,--,--
45.128.96.98,IP Address,Octo,--,--,Command & Control (C2)
igorboiesaplakatiyoragad3.com,Domain,Octo,--,--,--
193.32.126.218,IP Address,AsyncRAT,--,--,Command & Control (C2)
31.132.165.12,IP Address,njRATLime,--,--,Command & Control (C2)
guiguli.shop,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
service-qk4osrii-1253688020.hk.tencentapigw.cn,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
47.120.63.211,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
120.79.44.225,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
216.83.59.194,IP Address,AsyncRAT,--,--,Command & Control (C2)
eveningvsput24.com,Domain,--,--,--,--
24niceevening.com,Domain,--,--,--,--
infosign24.com,Domain,--,--,--,--
45.9.150.136,IP Address,--,--,--,--
45.9.149.190,IP Address,--,--,--,--
45.9.148.43,IP Address,--,--,--,--
info-attention.com,Domain,--,--,--,--
eveningput24.com,Domain,--,--,--,--
putevening24.com,Domain,--,--,--,--
45.9.150.146,IP Address,--,--,--,--
45.9.150.163,IP Address,--,--,--,--
information--24.com,Domain,--,--,--,--
infosign-24.com,Domain,--,--,--,--
attention-info.com,Domain,--,--,--,--
45.9.149.149,IP Address,--,--,--,--
45.9.150.153,IP Address,--,--,--,--
45.9.150.149,IP Address,--,--,--,--
45.9.150.158,IP Address,--,--,--,--
45.9.150.159,IP Address,--,--,--,--
45.9.150.145,IP Address,--,--,--,--
45.9.148.47,IP Address,--,--,--,--
45.9.149.187,IP Address,--,--,--,--
tm1nt.zapto.org,Domain,njRAT,--,--,--
deneylidenek.ddns.net,Domain,DarkComet,--,--,--
111.30.206.22,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
92.143.183.132,IP Address,NanoCore,--,--,Command & Control (C2)
aij.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
66.212.206.182,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
45.76.46.64,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
23.129.64.224,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
enjoy-everybody.gl.at.ply.gg,Domain,AsyncRAT,--,--,--
188.215.235.125,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
8.217.186.171,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
37.114.41.176,IP Address,AsyncRAT,--,--,Command & Control (C2)
e7team-43366.portmap.host,Domain,Quasar,--,--,Actions on Objectives
yxmr.caobibibi.com,Domain,XMRig,--,--,--
vpsquasar-41172.portmap.io,Domain,Quasar,--,--,Actions on Objectives
116.62.149.37,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
89.245.33.186,IP Address,njRAT,--,--,Command & Control (C2)
sesujixovasov.joopsoa.com,Domain,PdfCaptchaLure21,--,--,Installation
canalinf.ddns.net,Domain,njRATLime,--,--,--
laraloveu-20236.portmap.host,Domain,"AsyncRAT, Quasar",--,--,Actions on Objectives
love3.sytes.net,Domain,CybergateRAT,--,--,--
yhwanwan.xyz,Domain,fakeApp,--,--,--
175.178.47.86,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
pkfkd.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
181.214.166.72,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
tkfkdba.pro,Domain,fakeApp,--,--,--
pereira99-24486.portmap.host,Domain,AsyncRAT,--,--,--
trojanchupa.ddns.net,Domain,njRATLime,--,--,--
8.138.86.191,IP Address,Meterpreter,--,--,Command & Control (C2)
dry-resonance-37871.pktriot.net,Domain,DarkComet,--,--,--
666sss.ddns.net,Domain,DarkComet,--,--,--
zayonx.ddns.net,Domain,NanoCore,--,--,--
78.123.213.236,IP Address,NanoCore,--,--,Command & Control (C2)
unidasg.top,Domain,Stealc,--,--,Installation
193.163.205.104,IP Address,njRATLime,--,--,Command & Control (C2)
188.241.177.196,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
3.80.94.148,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
193.233.132.173,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
42.192.45.240,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
46.197.123.202,IP Address,AsyncRAT,--,--,Command & Control (C2)
149.88.78.165,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
103.30.76.64,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
5.42.65.117,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
218.166.100.113,IP Address,Salityv3,SALTY SPIDER,--,--
20.185.159.144,IP Address,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
fomaroj.podar.co.za,Domain,PdfCaptchaLure21,--,--,Installation
zutuzowerojo.fecuq.co.za,Domain,PdfCaptchaLure21,--,--,Installation
kizumilo.yftejum.com,Domain,PdfCaptchaLure21,--,--,Installation
146.70.28.41,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
torer.urseghy.com,Domain,PdfCaptchaLure21,--,--,Installation
witofomusewed.tevav.co.za,Domain,PdfCaptchaLure21,--,--,Installation
zixinob.oapsirs.com,Domain,PdfCaptchaLure21,--,--,Installation
qbo.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
xenaxu.sunuf.co.za,Domain,PdfCaptchaLure21,--,--,Installation
kavun.mifuj.co.za,Domain,PdfCaptchaLure21,--,--,Installation
rurijop.yftejum.com,Domain,PdfCaptchaLure21,--,--,Installation
202.60.81.189,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
jiganufowufiwuv.wirut.co.za,Domain,PdfCaptchaLure21,--,--,Installation
wifofag.tevav.co.za,Domain,PdfCaptchaLure21,--,--,Installation
lerow.xeltuve.com,Domain,PdfCaptchaLure21,--,--,Installation
jipilixirize.tevav.co.za,Domain,PdfCaptchaLure21,--,--,Installation
reremavajipuju.joopsoa.com,Domain,PdfCaptchaLure21,--,--,Installation
kdfsv.duckdns.org,Domain,AsyncRAT,--,--,--
fuwugax.yubit.co.za,Domain,PdfCaptchaLure21,--,--,Installation
dosopowa.gluvoob.com,Domain,PdfCaptchaLure21,--,--,Installation
xonupabop.norin.co.za,Domain,PdfCaptchaLure21,--,--,Installation
craftrisercfree.duckdns.org,Domain,DarkComet,--,--,--
febrero29.con-ip.com,Domain,Remcos,--,--,--
lorixibakij.colod.co.za,Domain,PdfCaptchaLure21,--,--,Installation
188.213.34.69,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
193.233.75.178,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
apply-liberal.gl.at.ply.gg,Domain,Remcos,--,--,--
139.159.145.242,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
acbtpay.shop,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
47.109.53.241,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
172.245.139.145,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
91.92.252.234,IP Address,AsyncRAT,--,--,Command & Control (C2)
172.245.208.13,IP Address,Remcos,--,--,Command & Control (C2)
jdol.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
emmidd53-1.duckdns.org,Domain,AsyncRAT,--,--,--
autoinspain.top,Domain,Octo,--,--,--
awards-nu.gl.at.ply.gg,Domain,"njRAT, njRATLime",--,--,--
karamarabad.shop,Domain,Octo,--,--,--
karamakasa.shop,Domain,Octo,--,--,--
marabalardanken.shop,Domain,Octo,--,--,--
maradakalman.shop,Domain,Octo,--,--,--
95.181.235.7,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
188.215.235.120,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
henrymark270.ddns.net,Domain,Adwind,--,--,--
huia.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
solitary-silence-37726.pktriot.net,Domain,DarkComet,--,--,--
91.92.252.40,IP Address,"AsyncRAT, Quasar",--,--,Command & Control (C2) > Actions on Objectives
47.120.37.153,IP Address,Meterpreter,--,--,Command & Control (C2)
op2311.duckdns.org,Domain,DarkComet,--,--,--
212.102.49.19,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
139.162.191.164,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
185.172.128.87,IP Address,BadTrip,--,--,Command & Control (C2) > Actions on Objectives
85.192.40.230,IP Address,BadTrip,--,--,Actions on Objectives
185.196.10.4,IP Address,BadTrip,--,--,Actions on Objectives
45.15.156.43,IP Address,BadTrip,--,--,Actions on Objectives
93.123.39.72,IP Address,Rhadamanthys,--,--,Command & Control (C2)
hjgbhd46465m-49310.portmap.io,Domain,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
185.152.32.75,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
ns567582.johnshimkus.com,Domain,TaurusLNK,VENOM SPIDER,--,--
138.124.184.170,IP Address,CarbonSpiderStagerDLL,--,--,Delivery > Command & Control (C2)
23.133.88.248,IP Address,CarbonSpiderStagerDLL,--,--,Delivery > Command & Control (C2)
lkdj.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
172.210.42.227,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
wanderpics.net,Domain,Rhadamanthys,--,--,--
45.137.98.33,IP Address,njRAT,--,--,Command & Control (C2)
downloads-doc.gl.at.ply.gg,Domain,njRAT,--,--,--
47.76.103.184,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
138.128.136.166,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
46.56.76.52,IP Address,Salityv3,SALTY SPIDER,--,--
mfa-files.firstcloudit.com,Domain,--,FANCY BEAR,--,--
47.74.64.5,IP Address,--,CASCADE PANDA,--,--
59.153.108.10,IP Address,--,CASCADE PANDA,--,--
47.74.64.14,IP Address,--,CASCADE PANDA,--,--
170.33.14.0,IP Address,--,CASCADE PANDA,--,--
59.153.108.9,IP Address,--,CASCADE PANDA,--,--
170.33.14.2,IP Address,--,CASCADE PANDA,--,--
59.153.108.1,IP Address,--,CASCADE PANDA,--,--
205.204.104.5,IP Address,--,CASCADE PANDA,--,--
121.54.164.9,IP Address,--,CASCADE PANDA,--,--
121.54.164.25,IP Address,--,CASCADE PANDA,--,--
170.33.14.3,IP Address,--,CASCADE PANDA,--,--
205.204.104.3,IP Address,--,CASCADE PANDA,--,--
59.153.108.13,IP Address,--,CASCADE PANDA,--,--
121.54.164.5,IP Address,--,CASCADE PANDA,--,--
47.74.64.17,IP Address,--,CASCADE PANDA,--,--
oraclecloudsig.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
diveupdown.com,Domain,DarkGate,--,--,Actions on Objectives
gael2024.kozow.com,Domain,AsyncRAT,--,--,--
103.106.203.182,IP Address,ChangemeRAT,--,--,Command & Control (C2)
178.255.148.172,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
216.83.40.68,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
209.141.44.168,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
185.172.128.3,IP Address,AmadeyLoader,--,--,Command & Control (C2)
geotechprotect.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
176.125.229.22,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
s1.myserverku.com,Domain,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
88.243.188.35,IP Address,AsyncRAT,--,--,Command & Control (C2)
176.125.230.25,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
185.172.128.187,IP Address,--,--,--,--
185.172.128.90,IP Address,--,--,--,--
185.172.128.126,IP Address,--,--,--,--
93.123.39.66,IP Address,Rhadamanthys,--,--,Command & Control (C2)
156.253.14.144,IP Address,ChangemeRAT,--,--,Command & Control (C2)
xfnb666.xyz,Domain,--,--,--,--
onlinetraveler.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
testabc333-58597.portmap.io,Domain,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
adfhjadfbjadbfjkhad44jka.com,Domain,DarkGate,--,--,Actions on Objectives
pedrogonsales.ddns.net,Domain,DarkComet,--,--,--
trikal-54721.portmap.host,Domain,AhMyth,--,--,Actions on Objectives
batata147.duckdns.org,Domain,NanoCore,--,--,--
leetgrowtopia.ddns.net,Domain,NanoCore,--,--,--
20.19.32.59,IP Address,AsyncRAT,--,--,Command & Control (C2)
198.251.88.196,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
trikal-47046.portmap.host,Domain,AhMyth,--,--,Actions on Objectives
90.188.243.168,IP Address,njRATLime,--,--,Command & Control (C2)
79.37.146.227,IP Address,Salityv3,SALTY SPIDER,--,--
77.232.143.206,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
ged.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
bomgkt25.top,Domain,CryptBot,--,--,Delivery > Actions on Objectives
fileupdatesdrive.com,Domain,--,--,--,--
zozobangpin.com,Domain,--,--,--,--
cloudcouponscodes.com,Domain,--,--,--,--
223.74.88.110,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
217.114.218.26,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
fastestfreecdn.com,Domain,AmadeyLoader,--,--,--
offical-downloads.top,Domain,--,MIRAGE TIGER,--,--
unruffled-night-08471.pktriot.net,Domain,DarkComet,--,--,--
tonses.dliklone.online,Domain,--,--,--,--
documents.official-downloads.top,Domain,--,--,--,--
official-downloads.top,Domain,--,--,--,--
173.244.49.86,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
settings5-8888.geoiplookup.live,Domain,njRAT,--,--,--
shopmoneyweb.com,Domain,--,--,--,--
oneblackwood.com,Domain,--,--,--,--
securecloudmanage.com,Domain,--,--,--,--
otxcosmeticscare.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
ontexcare.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
otxcarecosmetics.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
report-amounts.gl.at.ply.gg,Domain,AsyncRAT,--,--,--
fenvijsdfidfisdiodwhfuew.con-ip.com,Domain,Remcos,--,--,--
114.46.151.154,IP Address,Salityv3,SALTY SPIDER,--,--
no-glory.gl.at.ply.gg,Domain,njRATLime,--,--,--
206.217.139.231,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
176.213.209.13,IP Address,njRAT,--,--,Command & Control (C2)
109.160.54.3,IP Address,--,--,--,Exploitation
209.169.182.252,IP Address,--,--,--,Exploitation
77.78.55.185,IP Address,--,--,--,Exploitation
213.134.142.160,IP Address,--,--,--,Exploitation
27.72.76.180,IP Address,--,--,--,Exploitation
46.0.192.13,IP Address,--,--,--,Exploitation
109.207.193.40,IP Address,--,--,--,Exploitation
111.255.147.227,IP Address,Salityv3,SALTY SPIDER,--,--
120.46.128.5,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
47.76.67.52,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
123.233.108.19,IP Address,Salityv3,SALTY SPIDER,--,--
conexaoremota2024.ddns.net,Domain,"DarkComet, Loda, Xworm",--,--,Command & Control (C2) > Actions on Objectives
27.188.19.109,IP Address,Salityv3,SALTY SPIDER,--,--
194.87.107.145,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
windows6254uma.duckdns.org,Domain,Remcos,--,--,--
silly-wood-24004.pktriot.net,Domain,Quasar,--,--,Actions on Objectives
nextroundst.com,Domain,DarkGate,--,--,Actions on Objectives
43.128.9.119,IP Address,ChangemeRAT,--,--,Command & Control (C2)
157.230.191.221,IP Address,Davurl,--,--,Command & Control (C2)
43.136.242.247,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
94.156.8.76,IP Address,Rhadamanthys,--,--,Command & Control (C2)
daddzf.top,Domain,ChangemeRAT,--,--,Command & Control (C2)
147.45.68.196,IP Address,Rhadamanthys,--,--,Command & Control (C2)
tiw.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
172.105.0.147,IP Address,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
91.192.223.44,IP Address,Meterpreter,--,--,Command & Control (C2)
feizixiao.jnbet4.com,Domain,HelloBot,--,--,--
3.10.117.191,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
1433223.duckdns.org,Domain,Quasar,--,--,Actions on Objectives
fallempire.tpddns.cn,Domain,Quasar,--,--,Actions on Objectives
beaker.top,Domain,Quasar,--,--,Actions on Objectives
hb1.frp.node.swei.site,Domain,Quasar,--,--,Actions on Objectives
111.180.190.190,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
139.155.138.49,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
113.206.132.106,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
torrentsports.co,Domain,AsyncRAT,--,--,--
api.fwfy.club,Domain,NanoCore,--,--,--
drpbx.cc,Domain,--,--,--,--
stupefied-sun-39888.pktriot.net,Domain,DarkComet,--,--,--
micro24soft.link,Domain,--,--,--,--
micro24soft.top,Domain,--,--,--,--
128.199.255.0,IP Address,AsyncRAT,--,--,Command & Control (C2)
107.174.228.79,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
fax-pureoffice.home-webserver.de,Domain,Warzone,--,--,--
galajamera.yoyep.co.za,Domain,PdfCaptchaLure21,--,--,Installation
nisoli.lovig.co.za,Domain,PdfCaptchaLure21,--,--,Installation
5.161.223.210,IP Address,Sekur,CARBON SPIDER,--,Command & Control (C2) > Actions on Objectives
207.174.30.226,IP Address,Sekur,CARBON SPIDER,--,Command & Control (C2) > Actions on Objectives
bipalubepirus.oapsirs.com,Domain,PdfCaptchaLure21,--,--,Installation
193.233.161.246,IP Address,--,--,--,Command & Control (C2)
79.133.57.98,IP Address,AsyncRAT,--,--,Command & Control (C2)
154.30.255.175,IP Address,AsyncRAT,--,--,Command & Control (C2)
www.52mxd.org,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
api-nuget.azureedge.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
relations-three.gl.at.ply.gg,Domain,AsyncRAT,--,--,--
178.233.136.201,IP Address,Meterpreter,--,--,Command & Control (C2)
192.145.127.215,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
110.34.30.10,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
194.67.193.69,IP Address,Matanbuchus,--,--,Exploitation > Command & Control (C2)
194.67.193.68,IP Address,Matanbuchus,--,--,Exploitation > Command & Control (C2)
47.76.103.38,IP Address,ChangemeRAT,--,--,Command & Control (C2)
connectivity-check.linkpc.net,Domain,Oyster,--,--,--
time-check-broker.com,Domain,Oyster,--,--,--
lakeshorehomebuilders.com,Domain,Oyster,--,--,--
mariles.top,Domain,Stealc,--,--,Installation
20.206.240.63,IP Address,"njRAT, njRATLime",--,--,Command & Control (C2)
androidip-27326.portmap.io,Domain,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
23.227.198.234,IP Address,SocksProxyGo,VICE SPIDER,--,Command & Control (C2)
20.41.117.192,IP Address,AsyncRAT,--,--,Command & Control (C2)
mzv.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
study-mango.com,Domain,--,--,--,--
193.168.141.133,IP Address,Meterpreter,--,--,Command & Control (C2)
w32timeslicesvc.net,Domain,--,--,--,--
myprivatehostsvc.com,Domain,--,HAZY TIGER,--,--
cogniviosphere.net,Domain,--,HAZY TIGER,--,--
77.105.162.219,IP Address,Sekur,CARBON SPIDER,--,Command & Control (C2) > Actions on Objectives
207.174.30.238,IP Address,Sekur,CARBON SPIDER,--,Command & Control (C2) > Actions on Objectives
jimboss.ydns.eu,Domain,Remcos,--,--,--
23.224.143.50,IP Address,Meterpreter,--,--,Command & Control (C2)
login.microsoftonline.com.keela.support,Domain,--,--,--,--
212.162.149.50,IP Address,Remcos,--,--,Command & Control (C2)
45.84.1.213,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
jenshol.com,Domain,--,WANDERING SPIDER,--,--
thenewbees.org,Domain,--,--,--,--
trailcocompany.com,Domain,CobaltStrike,WANDERING SPIDER,--,Delivery > Command & Control (C2)
menuxiku.urseghy.com,Domain,PdfCaptchaLure21,--,--,Installation
redland.linkpc.net,Domain,Quasar,--,--,Actions on Objectives
onedogsclub.com,Domain,--,WANDERING SPIDER,--,--
internationalteamusa.com,Domain,--,WANDERING SPIDER,--,--
77.47.142.103,IP Address,Rhadamanthys,--,--,Command & Control (C2)
businessprofessionalllc.com,Domain,--,WANDERING SPIDER,--,--
iluxa.ddns.net,Domain,njRAT,--,--,--
149.104.12.64,IP Address,InstituteX,VERTIGO PANDA,--,Actions on Objectives
185.82.216.184,IP Address,InstituteX,VERTIGO PANDA,--,Actions on Objectives
ib48gfalgb6.johnshimkus.com,Domain,TaurusLNK,VENOM SPIDER,--,--
tubabageragusa.loheb.co.za,Domain,PdfCaptchaLure21,--,--,Installation
authmail.link,Domain,--,--,--,--
mailapp.click,Domain,--,--,--,--
216.146.25.53,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
regol-56460.portmap.host,Domain,"AsyncRAT, Xworm",--,--,--
microsoft-update-server.bit,Domain,Azorult,--,--,--
68.33.147.106,IP Address,AsyncRAT,--,--,Command & Control (C2)
1.94.52.236,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
2flowers-my.xyz,Domain,LummaStealer,--,--,Actions on Objectives
38.47.220.202,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
dedsec8-33374.portmap.host,Domain,Quasar,--,--,Actions on Objectives
updateoutlook.xyz,Domain,RShell,--,--,Installation > Command & Control (C2) > Actions on Objectives
143.92.61.142,IP Address,VShell,--,--,Command & Control (C2)
36.226.36.183,IP Address,Salityv3,SALTY SPIDER,--,--
49.12.219.50,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
79.27.90.128,IP Address,Salityv3,SALTY SPIDER,--,--
121.62.18.67,IP Address,AsyncRAT,--,--,Command & Control (C2)
mauricioclopatofsky.tel,Domain,LokiBot,--,--,--
114.67.223.94,IP Address,ChangemeRAT,--,--,Command & Control (C2)
125.40.32.23,IP Address,Salityv3,SALTY SPIDER,--,--
yanda1569s.shop,Domain,ChangemeRAT,--,--,Command & Control (C2)
51.195.231.121,IP Address,AsyncRAT,--,--,Command & Control (C2)
193.233.132.57,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
summerfi.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
winscapmarzo.duckdns.org,Domain,AsyncRAT,--,--,--
111.226.110.194,IP Address,Salityv3,SALTY SPIDER,--,--
123.233.111.109,IP Address,Salityv3,SALTY SPIDER,--,--
8.130.141.105,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
116.62.53.46,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
service-1p1ry6o2-1300472523.gz.tencentapigw.com.cn,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
118.25.85.104,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
45.9.150.131,IP Address,--,--,--,--
eveningvsput.com,Domain,--,--,--,--
8.217.38.238,IP Address,ChangemeRAT,--,--,Command & Control (C2)
putevening.com,Domain,--,--,--,--
45.9.149.146,IP Address,--,--,--,--
107.148.38.86,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
185.196.8.242,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
doc-share.click,Domain,--,--,--,--
one-recovery.com,Domain,--,--,--,--
micro24soft.net,Domain,--,--,--,--
cloud-app.sbs,Domain,--,--,--,--
micro24soft.org,Domain,--,--,--,--
cloudlogin.quest,Domain,--,--,--,--
verif-app.click,Domain,--,--,--,--
mail-cloud.rsvp,Domain,--,--,--,--
doc-viewer.zip,Domain,--,--,--,--
kellogg-hr.com,Domain,--,--,--,--
xn--anhuser-busch-ygb.com,Domain,--,--,--,--
xn--kllogg-3ua.com,Domain,--,--,--,--
91.212.166.4,IP Address,--,--,--,--
140.238.91.110,IP Address,"Meterpreter, Quasar",--,--,Command & Control (C2) > Actions on Objectives
automotive-shop.top,Domain,Octo,--,--,--
caopeople.com,Domain,--,--,--,--
80.255.7.71,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
dcs.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
www.ceramicacirobonfrate.com,Domain,--,--,--,--
h13f2hah2aa.com,Domain,Octo,--,--,--
h23ha22f3f2a.com,Domain,Octo,--,--,--
cwcwac3f422af.com,Domain,Octo,--,--,--
he2ahea2f32hadx.com,Domain,Octo,--,--,--
g2agfawfw.com,Domain,Octo,--,--,--
fillaover.duckdns.org,Domain,AsyncRAT,--,--,--
damizk.ddns.net,Domain,Quasar,--,--,Actions on Objectives
d1qszla35h465q.cloudfront.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
185.254.96.154,IP Address,AsyncRAT,--,--,Command & Control (C2)
bagdg.duckdns.org,Domain,AsyncRAT,--,--,--
212.23.222.206,IP Address,AsyncRAT,--,--,Command & Control (C2)
121.171.170.176,IP Address,AsyncRAT,--,--,Command & Control (C2)
eveningput.com,Domain,--,GOSSAMER BEAR,--,Reconnaissance
niceevening24.com,Domain,--,GOSSAMER BEAR,--,Reconnaissance
23.163.0.75,IP Address,--,PULSAR KITTEN,--,--
gulappa.app,Domain,--,--,--,--
renedamsbak.dk,Domain,--,--,--,--
selevkis.app,Domain,--,--,--,--
988skins.com,Domain,SlashNext:SocialEngineering,--,--,--
softkey.app,Domain,--,--,--,--
programvenders.app,Domain,--,--,--,--
